address,activity_days
"JALAN PERSIARAN YAYASAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN HASHIM, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN PASAR LAMA, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN TASIK 1,PUSAT PERNIAGAAN TASIK, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN TASIK 2,PUSAT PERNIAGAAN TASIK, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BERLIAN 8,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN 3,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN 4,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"SURAU AL-KHAIRIAH / BALAIRAYA,JALAN BERLIAN 4,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BERLIAN 5,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN 6,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN 7,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN 2,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BERLIAN 1,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BERLIAN 9,TAMAN BERLIAN BIRU, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN BIRU 1,TAMAN BERLIAN BIRU 2, KLUANG JOHOR","Monday,Thursday"
"JALAN BERLIAN BIRU 2,TAMAN BERLIAN BIRU 2, KLUANG JOHOR","Monday,Thursday"
"JALAN 1,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN 1,TAMAN BERSATU, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN 2,TAMAN BERSATU, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN 3,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN 4,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN 5,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN 6,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN 7,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN 8,TAMAN BERSATU, KLUANG JOHOR","Tuesday,Friday"
"JALAN BESTARI 1,TAMAN BESTARI, AYER HITAM, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BINTANG,TAMAN BINTANG, KLUANG JOHOR","Monday,Thursday"
"JALAN BINTANG 3,TAMAN BINTANG, KLUANG JOHOR","Monday,Thursday"
"JALAN BINTANG 4,TAMAN BINTANG, KLUANG JOHOR","Monday,Thursday"
"JALAN CAHAYA PELANGI 1,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 2,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 3,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 4,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 5,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 6,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 7,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 8,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 9,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 10,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CAHAYA PELANGI 11,TAMAN CAHAYA PELANGI, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 1,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 1,TAMAN DELIMA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN 10,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 11,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 12,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 13,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 14,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 14/1,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 14/2,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 14/3,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 14/4,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 15,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 16,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 17,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 18,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 19,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 2,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 20,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 22,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 24,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
